# sfho.eos converted to units with G=c=Msun=1
#
# rho0=nB*mB           epsl=(rho-rho0)/rho0    P
#
1.1034476679019671e-04 1.3651590975807482e-02 3.6557689537187455e-07
1.2882055428072720e-04 1.4204638067983000e-02 4.9523277410179909e-07
1.5038987065645019e-04 1.4862792972756944e-02 7.0529648227370238e-07
1.7557068685464862e-04 1.5669693890152603e-02 1.0142786984181710e-06
2.0496770126912130e-04 1.6656674169607477e-02 1.4386500997344883e-06
2.3928686112806687e-04 1.7845587799247387e-02 2.0064259065784322e-06
2.7935231528670605e-04 1.9260827261021296e-02 2.7785055777396808e-06
3.2612620554321720e-04 2.0940451980273389e-02 3.8516863296301770e-06
3.8073177175159154e-04 2.2947610174756994e-02 5.4069613399226303e-06
4.4448032558333219e-04 2.5395819834338695e-02 7.8052676449089117e-06
5.1890274069263669e-04 2.8486738943680923e-02 1.1728001283923304e-05
6.0578621549774202e-04 3.2550643987238503e-02 1.8345907648420170e-05
7.0721719140899510e-04 3.8080059514065567e-02 2.9527295610533594e-05
8.2563145715271126e-04 4.5749079699084261e-02 4.8052432175440746e-05
9.6387264240850113e-04 5.6422975224255545e-02 7.7976830073235828e-05
1.1252605054408796e-03 7.1181528006269312e-02 1.2530894614491499e-04
1.3136706546013034e-03 9.1383795843767324e-02 1.9929804944503188e-04
1.5336276181527157e-03 1.1876549252104907e-01 3.1396331983457734e-04
1.7904134974185014e-03 1.5546725307665898e-01 4.8842771174520611e-04
2.0901948124796565e-03 2.0391215295114296e-01 7.4635759438489700e-04
2.4401705865243870e-03 2.6671006753226134e-01 1.1196501336333488e-03
2.8487452249844896e-03 3.4684367523102466e-01 1.6573403382629122e-03
3.3257303410213117e-03 4.4813200884924154e-01 2.4386080863600785e-03
3.8825803740487040e-03 5.7610128917752346e-01 3.6048858354365649e-03
